elev1,frequency1,elev0,frequency0
8.25,0.0,8.25,0.0
24.75,0.0,24.75,0.0
41.25,0.0,41.25,0.0
57.75,0.0,57.75,0.0
74.25,0.0,74.25,0.0
90.75,0.0,90.75,0.0
107.25,0.0,107.25,0.0
123.75,0.0,123.75,0.0
140.25,0.0,140.25,0.0
156.75,0.0,156.75,0.0
173.25,0.0,173.25,0.0
189.75,0.0,189.75,0.0
206.25,0.0,206.25,0.0
222.75,208.0,222.75,24.0
239.25,423.0,239.25,23.0
255.75,540.0,255.75,29.0
272.25,446.0,272.25,157.0
288.75,408.0,288.75,230.0
305.25,425.0,305.25,275.0
321.75,386.0,321.75,365.0
338.25,384.0,338.25,463.0
354.75,407.0,354.75,511.0
371.25,399.0,371.25,608.0
387.75,361.0,387.75,648.0
404.25,352.0,404.25,723.0
420.75,364.0,420.75,743.0
437.25,363.0,437.25,790.0
453.75,351.0,453.75,847.0
470.25,346.0,470.25,878.0
486.75,367.0,486.75,902.0
503.25,354.0,503.25,962.0
519.75,334.0,519.75,1010.0
536.25,322.0,536.25,1006.0
552.75,322.0,552.75,1024.0
569.25,279.0,569.25,1024.0
585.75,284.0,585.75,998.0
602.25,285.0,602.25,936.0
618.75,264.0,618.75,957.0
635.25,245.0,635.25,929.0
651.75,203.0,651.75,881.0
668.25,176.0,668.25,877.0
684.75,127.0,684.75,841.0
701.25,82.0,701.25,745.0
717.75,70.0,717.75,642.0
734.25,71.0,734.25,448.0
750.75,35.0,750.75,309.0
767.25,5.0,767.25,295.0
783.75,0.0,783.75,216.0
800.25,0.0,800.25,162.0
816.75,0.0,816.75,53.0
