landcover1,frequency1,landcover0,frequency0
Open water,8330.0,Open water,15165.0
Perennial ice/snow,228.0,Perennial ice/snow,0.0
"Developed, open space",8517.0,"Developed, open space",45451.0
"Developed, low density",27408.0,"Developed, low density",72677.0
"Developed, medium density",464.0,"Developed, medium density",3185.0
"Developed, high density",311.0,"Developed, high density",2399.0
Barren land,22999.0,Barren land,16464.0
Deciduous forest,691067.0,Deciduous forest,362755.0
Evergreen forest,1200426.0,Evergreen forest,971951.0
Mixed forest,211981.0,Mixed forest,96505.0
Dwarf scrub,7585.0,Dwarf scrub,70767.0
Shrub/scrub,577470.0,Shrub/scrub,947320.0
Grassland/herbaceous,145427.0,Grassland/herbaceous,21099.0
Sedge/herbaceous,235.0,Sedge/herbaceous,3196.0
Pasture/hay,109.0,Pasture/hay,1179.0
Cultivated crops,843.0,Cultivated crops,5100.0
Woody wetlands,169755.0,Woody wetlands,177401.0
Emergent herbaceous wetlands,3553.0,Emergent herbaceous wetlands,2310.0
